,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
Adele\13 Chasing Pavements.mp3,-17.722985,7464.45167745,0.0593132950093,3.35145365372,-0.000925001541669,4225.88537268,0.298253150087,7.79193052046,-17.722985,5885.98127884,-0.0227725709301,3.59075561134,-0.0734012233537,6422.08447745,0.0398569177383,3.40818894204,-17.722985,1377.75456337,-0.0733285531997,3.08951342312,-0.0649091515253,2532.92221112,0.07212702966,2.97102802364,-17.722985,138.381662973,0.0452128551806,3.58626902776,0.0908180300501,229.802803363,0.111938850271,3.67100545098,0.328347260768,0.171173555791,0.0853817999071,0.105108451171,0.0766749208648,0.0737565015411,0.0449001469203,0.0453717634629,0.0416291448753,0.0276564546978
Adele\14 I Can't Make You Love Me.mp3,-0.600935,4400.22384074,0.409039602504,5.03377011568,-0.00227833713056,2573.75447669,0.906614641351,22.019576339,-0.600935,2973.92881786,0.104720093165,3.5474093659,0.0334472241204,4387.76394204,0.0275815231978,3.99102013091,-0.600935,350.219078225,-0.0355589347188,3.59595256873,0.020265044174,588.607994739,-0.0224121882722,3.79996807238,-0.600935,39.5098937088,0.00629239090022,3.82784409704,0.147352253756,69.2248021891,0.0530710921558,4.03564414707,0.268626938359,0.2156423318,0.140424578521,0.103217102315,0.0696272318699,0.0599963834743,0.0403800512993,0.0418096720117,0.0431916924344,0.0170840179155
Adele\15 Make You Feel My Love.mp3,-0.670678333333,4469.65834005,0.357995900235,4.62458868131,0.0127166878611,2524.2184768,0.921399802314,19.0873304645,-0.670678333333,3113.49298853,0.0923925335732,3.1867808067,0.0263037717295,4429.59340096,0.017517688398,3.66015922438,-0.670678333333,377.718572255,-0.00157539206448,3.1562076748,0.0696699449908,639.131642743,-0.0269262280323,3.4046140904,-0.670678333333,45.4499409224,0.0569612114516,3.11255109784,0.142697829716,81.0665992738,0.0758052346183,2.96431292765,0.273200359825,0.223715598695,0.14133909115,0.10867919168,0.0605531309413,0.0554513915131,0.0377734673994,0.0377935472442,0.0403307334997,0.0211634880527
Adele\16 Someone Like You.mp3,-0.628961666667,5136.42646977,0.305291462826,4.44185369377,-0.00638501064168,3513.59553922,0.809153604034,11.9282502484,-0.628961666667,3107.41220771,0.0543330814237,3.42516478732,-0.144254070901,4882.78375676,-0.0441980496026,3.6827639836,-0.628961666667,324.152983763,0.0163698352031,3.48057439386,-0.145949324887,536.06314976,-0.0259818344833,3.57231803301,-0.628961666667,33.3358698145,-0.241861836082,3.13904420493,-0.0820951585977,56.5726182586,-0.0475374500879,2.94104401005,0.220156098058,0.203508274201,0.125976950429,0.1284900423,0.0748046286708,0.0776700416758,0.0504605354512,0.0424262894912,0.0489266924352,0.0275804472888
Adele\17 Rolling In The Deep.mp3,-2.32974333333,6329.64285706,0.0960946349537,3.47966436825,0.00956834928058,3380.16384695,0.394607227879,6.93173412093,-2.32974333333,4889.12418739,-0.0112303724265,3.70849233287,0.0890764846081,5701.67301021,0.0299287840574,3.37031770722,-2.32974333333,837.855504675,-0.072522524402,4.11270492221,-0.000830138356395,1484.53805702,0.01655674267,4.15709044421,-2.32974333333,89.4257300068,0.0267382313125,3.10391601656,-0.0724474123539,151.039730306,-0.0909311223945,3.17490066347,0.334384937726,0.182019280124,0.115365924811,0.0954960201472,0.0644399329661,0.0594383000064,0.0439631375668,0.041427740571,0.0405516701085,0.0229130559729
BeastieBoys\01 So What'cha Want.mp3,-10.384065,11004.0703394,0.0105788519448,3.72462146683,0.0665267775446,4512.05170923,-0.0153572872843,4.97388793069,-10.384065,9707.24715419,0.00839137875743,4.36383553075,0.670156169269,8131.55681993,-0.00635872343808,4.65834651824,-10.384065,3615.99549465,0.234305867703,8.63418553885,1.44970661777,6953.81227129,-0.0110296805116,8.73073394548,-10.384065,325.911250198,1.79115897849,13.1634862252,2.26059265442,521.805176894,-0.329831425602,9.03385979406,0.324333804749,0.152421163841,0.137887711998,0.0952073577429,0.0840122016082,0.0598034270504,0.0470832930554,0.0364155617116,0.0346173884359,0.0282180898075
BeastieBoys\03 Ch-Check It Out.mp3,-5.17302333333,8607.73699073,0.0283584282678,4.64211268118,0.00673834456391,4133.85024704,-0.182430987643,6.78188812778,-5.17302333333,7734.15981422,0.0308692896106,5.0738917776,0.108048467474,4759.15977169,-0.105742833358,5.66704574264,-5.17302333333,4529.71353563,-0.0805513669194,4.96479655031,0.0656992832139,8693.4028216,0.0308580443015,4.99030004411,-5.17302333333,457.9464803,-0.215308983568,4.55926088366,1.16118864775,763.490309628,0.191794292153,3.87092290237,0.290921527089,0.149037498552,0.108058019072,0.0912123826495,0.071394380628,0.078771275877,0.063932307324,0.0589416079212,0.045594695377,0.0421363055108
BeastieBoys\04 No Sleep Till Brooklyn.mp3,3.59248166667,7070.97465078,-0.0896229261821,8.14938095694,-0.0151700252834,3258.11630087,-0.0158390136948,5.94742248148,3.59248166667,6572.94956728,-0.105085604973,9.79973819329,-0.071742862381,3731.18624353,-3.63333928246e-06,6.51542497461,3.59248166667,2590.36579683,0.123663543155,13.2477484815,0.15045674279,4677.12531919,-0.0122400447934,13.3908136381,3.59248166667,208.48762652,0.306694235887,7.82016616956,0.0308914858097,368.600882544,0.101974326776,7.14683146654,0.294449593829,0.105821075122,0.0702217001014,0.0894547834536,0.0749502647005,0.0817045452631,0.0808070196852,0.0825355954652,0.0691931866231,0.050862235757
BeastieBoys\05 Hey Ladies.mp3,-231.872906667,7062.25125369,-0.017291529419,7.08481447069,0.00613834356391,3759.15421479,0.0221213238673,8.98084758461,-231.872906667,5966.1288394,-0.000337351055563,10.0000076107,0.0313455224254,4291.35965929,0.0299909964014,10.659218103,-231.872906667,2542.19519602,0.0258932553293,11.7406202332,-0.0810585097516,4757.56888971,-0.092031882476,12.4396593046,-231.872906667,211.715575632,0.000506614959331,8.21725159498,-0.148432387312,362.974941035,-0.290017769687,7.3661742928,0.311385935625,0.144169111045,0.116689073621,0.108734176614,0.0713785886758,0.0727385275499,0.0604282004148,0.0494567370681,0.0347258656619,0.0302937837254
BeastieBoys\06 Pass the Mic.mp3,-16.51767,10203.4858814,0.0174360205261,3.28810763027,0.0342850571418,3376.06792275,-0.29290439478,7.23160582921,-16.51767,9300.87276613,0.0120278352195,3.35691404569,0.392198203303,6550.79448372,0.095872118745,4.45226578006,-16.51767,4319.44175813,0.0188838795296,4.04795827677,-0.190398399733,8462.78614077,0.0102077649933,4.12364683933,-16.51767,297.563338794,-0.109902757829,4.82303211775,-0.677659432387,509.346770716,0.125805636193,4.87728005041,0.38270513874,0.178221859876,0.0968428064275,0.0896342076501,0.0644074081288,0.0534678444379,0.042686251086,0.0357498235818,0.0300978315591,0.0261868285133
