,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
Adele\13 Chasing Pavements.mp3,-9.81674,6436.32043927,0.0875456378261,4.01991972553,0.0176400294,3626.95902319,0.296949609444,7.53451549625,-9.81674,4901.02989973,0.00133497269213,4.66847042639,0.265642760713,5495.64766035,0.0521362422058,3.57751501656,-9.81674,1150.23000509,-0.00657492050569,4.52453811321,-0.220296716119,2115.5842096,0.0356807453785,4.15134883882,-9.81674,122.93868674,-0.173593426079,5.22330109767,0.51992654424,209.555422684,0.134729943662,5.75595234026,0.313144716791,0.184123385902,0.0946113593544,0.106150931995,0.0731028657403,0.0720259767526,0.0433882807554,0.0432578911871,0.0417746828507,0.0284199086715
Adele\14 I Can't Make You Love Me.mp3,-1.05724666667,4168.77855057,0.332605980608,4.77904830435,-0.00373000621668,2988.79394932,0.698136447006,13.5079272018,-1.05724666667,2481.57303868,0.0560761595822,3.77362355093,-0.0815380256338,3580.89255873,0.0301076601659,4.23747044419,-1.05724666667,299.870784454,-0.0276394592079,3.83237952217,0.0389214869145,486.852538977,-0.0166379391667,4.03590893248,-1.05724666667,37.0179995139,-0.0294466190531,3.65161636187,-0.0194774624374,65.7283925042,0.113077958377,3.74073343441,0.216880906125,0.192735225936,0.160405475219,0.113537105193,0.0757250586123,0.0716701445009,0.0438811290396,0.0562408021353,0.0480637086403,0.0208604445987
Adele\15 Make You Feel My Love.mp3,-0.3876,4103.91246202,0.151054705251,4.26676593581,-0.00967168278614,2110.0937262,0.949442333311,26.4241246179,-0.3876,3006.92422203,0.0413712734899,3.18464911852,-0.0158469307822,4120.26703821,0.0171385027175,3.44205311541,-0.3876,398.988887937,0.0296503137751,3.66692557867,-0.0899716619437,676.032270966,-0.036165489022,4.17102484283,-0.3876,48.0961280104,0.051818583678,3.18234678056,0.0243388981636,85.7601130611,0.017649585531,3.38946716361,0.312941588408,0.214123759199,0.129769677351,0.101652800929,0.057759973963,0.0542049722732,0.0423806927423,0.0308498961557,0.0336740376949,0.0226426012837
Adele\16 Someone Like You.mp3,-0.901848333333,4280.86882226,0.473133762269,4.1224720258,-0.00648001080002,2006.8019439,0.645164207522,13.0507560016,-0.901848333333,3083.82085717,0.191806677911,3.29394967337,-0.00952515875265,4588.63238513,-0.138950586197,3.53000059945,-0.901848333333,313.87315858,0.0497833638594,3.33565666971,-0.0465360893482,513.448914094,-0.101931703542,3.81271221469,-0.901848333333,38.718659847,-0.016330747206,3.40240749256,-0.0820601001669,66.6269774129,-0.142432450493,3.28766540823,0.308884234865,0.25461720455,0.114064292825,0.0982854492927,0.0565675893109,0.0520027122167,0.0335305850028,0.0312288949562,0.0314039225979,0.0194151143832
Adele\17 Rolling In The Deep.mp3,-0.231818333333,6874.33448459,0.0808141275926,3.30895762907,0.00233667056112,4149.66642295,0.355189362606,6.11951308951,-0.231818333333,4923.69954978,-0.0165269625001,3.72872171032,-0.11172519542,5852.24319658,-0.00573340718085,3.45691364042,-0.231818333333,1005.23581476,-0.0623396110991,3.21597575039,-0.133295549258,1827.33063387,0.0613379880565,3.10083210079,-0.231818333333,99.9347289943,0.314003219136,3.72269950843,-0.0172170283806,163.90608355,0.0777850837017,3.68897439475,0.290027991052,0.189525029169,0.13800964575,0.0933111528533,0.0675126664512,0.0618742843713,0.0453637369521,0.0471660405374,0.038867135741,0.028342317123
BeastieBoys\01 So What'cha Want.mp3,-23.1214633333,10584.4764936,0.0176537651826,4.01257795172,-0.0261383768973,4221.31137957,-0.0367061852666,6.40715513399,-23.1214633333,9298.78576085,0.0155798203072,4.76095073606,-0.194304905082,7686.58506259,-0.0386942431316,5.01301055769,-23.1214633333,3383.15050233,0.233941726875,9.77463753934,2.81703283881,6501.87378957,0.0158782115486,9.91393411512,-23.1214633333,290.134640237,1.60028154996,15.0566715247,-0.152116861436,475.997539246,0.0939520601252,9.51867693869,0.32594148727,0.175441110458,0.129116108648,0.102105659628,0.0707188422537,0.0634244815095,0.0436720003406,0.0310123845949,0.0314024161735,0.027165509123
BeastieBoys\03 Ch-Check It Out.mp3,-2.75566333333,8452.81308671,0.0323125922211,4.79345958067,0.00199833666389,4146.69072161,-0.176487633319,7.32464727708,-2.75566333333,7581.77716394,0.0346768501444,5.24710637764,-0.016246937449,4662.34091751,-0.0981829030777,5.7546344635,-2.75566333333,4459.5859906,-0.0554196293037,5.1547210287,0.00978663110522,8580.28274655,0.0281362945563,5.20777833041,-2.75566333333,436.416633613,-0.202735888749,4.57760713845,-0.129095158598,743.55280516,0.212647418423,3.95585777149,0.298943343093,0.142023808515,0.100616315342,0.0858867298805,0.0754380198581,0.0818544385946,0.0673572748675,0.0596323902398,0.045423155646,0.0428245239634
BeastieBoys\04 No Sleep Till Brooklyn.mp3,2.32492333333,6480.91960397,-0.0893057025177,8.03427309765,0.0176683627806,3565.45313603,-0.00227370617551,4.9566172988,2.32492333333,5848.28185451,-0.113895935238,10.5178657335,0.118425307088,3406.37369034,0.0122165202826,6.61357931556,2.32492333333,2284.78540048,0.117019237912,14.055135089,-0.11553092182,4131.40203628,-0.0428015319553,14.2002151677,2.32492333333,207.905987786,0.364142982085,8.21486610445,-0.446365609349,365.577140803,-0.118920557287,7.92721385709,0.278581464526,0.119104637901,0.0643652699888,0.0914316074233,0.0729309963409,0.0824155978172,0.0881186941647,0.086925228214,0.0689924582493,0.0471340453747
BeastieBoys\05 Hey Ladies.mp3,-238.907745,7906.08951072,-0.0440528118403,6.15215617662,0.0171683619473,4322.28581163,0.0920699345899,8.28562884821,-238.907745,6657.88152382,-0.0274158640593,8.51990638615,0.00480174669578,4808.39577234,0.0209579089911,10.5782293963,-238.907745,2582.5397286,-0.00920296513114,12.2068509842,0.0726521086848,4795.66855759,-0.0566858638804,13.1582915439,-238.907745,230.646040327,0.0830526908907,7.28637717932,0.00961268781302,384.256691797,-0.383650097171,7.31388424954,0.30775523112,0.15424430503,0.103752035562,0.0965104041138,0.0829930068416,0.0819620936554,0.0620033351498,0.047859007232,0.0337649391498,0.029155642145
BeastieBoys\06 Pass the Mic.mp3,-19.45628,10438.1724353,0.0129864466469,3.17225279055,-0.00407834013057,3710.05336917,-0.320707213575,6.26086383705,-19.45628,9390.82902881,0.00717031086934,3.30981934848,-0.0955932598877,6825.77043937,0.0665877810265,3.99257087779,-19.45628,4527.3999135,0.0143170426947,3.85822585306,-1.52889981664,8874.11308182,0.0111543474054,3.91545646186,-19.45628,301.776373823,-0.243848324655,5.11414293977,-0.759914858097,510.502449894,0.330970479792,5.15817662176,0.355830534376,0.182632896278,0.106530675863,0.0957713836561,0.0665541446163,0.0574772482269,0.0449473594837,0.0370904784064,0.0287884787483,0.0243768003447
